"Variable","Report_FB1","Report_FB2","App_Microdata_Calc","App_Toolkit_CSV","Diff_FB1","Diff_FB2"
"anytom",72.9,76.1,76.145604157134,76.145604157134,3.24560415713398,0.0456041571339938
"anylg",82.4,83.2,83.1957446359571,83.1957446359571,0.795744635957135,0.0042553640428622
"cabbage",30,37.9,37.9459764043673,37.9459764043673,7.94597640436727,0.0459764043672735
"carrot",81.4,NA,81.4,81.4,0,NA
"minicar",NA,34.1,34.1484387533682,34.1484387533682,NA,0.0484387533681669
"anybeef",78.4,79.6,79.6212433113175,79.6212433113175,1.22124331131754,0.0212433113175479
"anypork",55.1,58.9,58.9378681363292,58.9378681363292,3.83786813632917,0.0378681363291733
"anychick",87.6,86.5,86.5277999115091,86.5277999115091,1.07220008849086,0.0277999115091347
"egg",80.7,88.1,88.0914425053494,88.0914425053494,7.39144250534937,0.00855749465061706
"anyfish",55.6,49,49.0073997767787,49.0073997767787,6.59260022322135,0.00739977677865511
"shellfish",16.8,28.8,28.7581691296296,28.7581691296296,11.9581691296296,0.0418308703704042
"anycheese",88.8,89.7,89.7284844324112,89.7284844324112,0.928484432411224,0.0284844324112186
"yogurt",NA,67,66.9784279137467,66.9784279137467,NA,0.021572086253272
"cmunicipal",68.5,83.8,83.8,83.8,15.3,0
"cwell",10.8,12.5,12.5,12.5,1.7,0
"cbottled",18.8,37.7,37.7,37.7,18.9,0
"animalcont",63.4,65.9,65.9,65.9,2.50000000000001,0
"dog",43.3,49,49.0430867474418,49.0430867474418,5.74308674744182,0.0430867474418122
"cat",31.9,33.7,33.6723898953868,33.6723898953868,1.77238989538685,0.0276101046131529
