"variable_name","label","in_micro","has_fb1","has_fb2"
"raspb","Raspberries",TRUE,TRUE,TRUE
"raspbf","Fresh raspberries",FALSE,FALSE,FALSE
"raspbz","Frozen raspberries",FALSE,FALSE,FALSE
"raspbd","Dried raspberries",FALSE,FALSE,FALSE
"blueb","Blueberries",TRUE,TRUE,TRUE
"bluebf","Fresh blueberries",FALSE,FALSE,FALSE
"bluebz","Frozen blueberries",FALSE,FALSE,FALSE
"bluebd","Dried blueberries",FALSE,FALSE,FALSE
"blackb","Blackberries",TRUE,TRUE,TRUE
"blackbf","Fresh blackberries",FALSE,FALSE,FALSE
"blackbz","Frozen blackberries",FALSE,FALSE,FALSE
"blackbd","Dried blackberries",FALSE,FALSE,FALSE
"coconut","Coconut",TRUE,FALSE,TRUE
"coconutf","Fresh coconut",FALSE,FALSE,FALSE
"coconutz","Frozen coconut",FALSE,FALSE,FALSE
"coconutd","Dried/shredded coconut",FALSE,FALSE,FALSE
"apple","Apples*",TRUE,TRUE,FALSE
"pear","Pears*",TRUE,TRUE,FALSE
"apricot","Apricots*",TRUE,TRUE,FALSE
"plum","Plums*",TRUE,TRUE,FALSE
"citrus","Citrus fruits*",TRUE,TRUE,FALSE
"cherry","Cherries*",TRUE,TRUE,FALSE
"grape","Grapes*",TRUE,TRUE,FALSE
"banana","Bananas*",TRUE,TRUE,FALSE
"pineapple","Pineapple*",TRUE,TRUE,FALSE
"olive","Olives*",TRUE,TRUE,FALSE
"kiwi","Kiwi*",TRUE,TRUE,FALSE
"fruitbz","Bag of mixed frozen fruit or berries",FALSE,FALSE,FALSE
"anyfruitz","Any frozen fruit*",TRUE,TRUE,FALSE
"berriesz","Frozen berries*",TRUE,TRUE,FALSE
"fruitz","Frozen fruit (not including berries)*",TRUE,FALSE,TRUE
"dryfruit","Dried fruit*",TRUE,TRUE,FALSE
"fruitsm","Fruit smoothies (at home or store-bought)",TRUE,FALSE,TRUE
"unpjorc","Unpasteurized apple cider or fruit juice",FALSE,FALSE,FALSE
"unpjuice","Unpasteurized fruit juice*",TRUE,TRUE,TRUE
"anynut","Any nuts",TRUE,TRUE,FALSE
"peanut","Peanuts (not including peanut butter)",TRUE,TRUE,TRUE
"pnbutter","Peanut butter",TRUE,TRUE,TRUE
"almond","Almonds (excluding almond butter)",TRUE,FALSE,TRUE
"abutter","Almond butter/spread",FALSE,FALSE,FALSE
"walnut","Walnuts",TRUE,TRUE,TRUE
"hazelnut","Hazelnuts (Filberts)",TRUE,FALSE,TRUE
"hspread","Butter/spread containing hazelnuts",FALSE,FALSE,FALSE
"cashew","Cashews",TRUE,TRUE,TRUE
"cbutter","Cashew butter/spread",TRUE,FALSE,TRUE
"pecan","Pecans",TRUE,TRUE,TRUE
"onut","Other nuts",TRUE,FALSE,TRUE
"nutpaste","Other nut paste, butter or spread*",TRUE,TRUE,FALSE
"anyseed","Any seeds",TRUE,FALSE,TRUE
"sunflwsd","Sunflower seeds",TRUE,TRUE,TRUE
"ssbutter","Butter or paste containing sunflower seeds",FALSE,FALSE,FALSE
"sesamesd","Sesame seeds",TRUE,TRUE,TRUE
"tahini","Tahini, including home made hummus",TRUE,FALSE,TRUE
"tahinifb1","Tahini, halva or other products made from sesame seeds*",TRUE,TRUE,FALSE
"chia","Chia seeds/chia seed powder",TRUE,FALSE,TRUE
"flax","Flax seeds/flax seed powder",TRUE,FALSE,TRUE
"oseed","Other seeds",TRUE,FALSE,TRUE
"anybeef","Any beef (not including deli-meat)",TRUE,FALSE,TRUE
"anygroundbeef","Any ground beef",TRUE,TRUE,TRUE
"bgroundraw","Ground beef consumed raw or undercooked",TRUE,TRUE,TRUE
"bground","Any other ground beef*",FALSE,FALSE,FALSE
"hamb","Any hamburgers",TRUE,FALSE,TRUE
"zbeefpatties","Store-bought frozen beef patties",TRUE,FALSE,TRUE
"hambhome","Home-made hamburgers*",FALSE,FALSE,FALSE
"hambrest","Hamburgers from a restaurant or fast food establishment*",FALSE,FALSE,FALSE
"rawbeef","Raw beef",TRUE,TRUE,FALSE
"steak","Steak",TRUE,TRUE,FALSE
"stewingb","Stewing beef",TRUE,TRUE,TRUE
"veal","Veal",TRUE,TRUE,TRUE
"sausage_beef","Beef sausage (excluding dried)",TRUE,FALSE,TRUE
"bwhole","Other whole-cut beef products",TRUE,FALSE,TRUE
"anypork","Any pork (not including deli-meat)",TRUE,FALSE,TRUE
"pground","Ground pork",TRUE,TRUE,TRUE
"sausage_pork","Pork sausage",TRUE,FALSE,TRUE
