"variable_name","toolkit_canada_pct","omd_weighted_pct","difference","pct_difference"
"anytom",76.145604157134,76.1456041571335,-4.40536496171262e-13,-5.78544882593842e-13
"tomcherry",46.0682100701766,46.0682100701765,-6.3948846218409e-14,-1.38813394575119e-13
"iceberg",41.9970858263562,41.9970858263563,4.9737991503207e-14,1.1843200670841e-13
"romaine",56.8329635392842,56.8329635392841,-2.8421709430404e-14,-5.00091982899296e-14
"spinach",38.665948992557,38.665948992557,1.4210854715202e-14,3.67528926237851e-14
"mesclun",23.1655232803438,23.1655232803439,5.32907051820075e-14,2.30043174665625e-13
"kale",18.0779541665239,18.077954166524,6.03961325396085e-14,3.34087209112676e-13
"arugula",16.7124198210031,16.7124198210031,4.2632564145606e-14,2.55095100543299e-13
"prepacklg",30.1800286040695,30.1800286040696,3.19744231092045e-14,1.05945635534928e-13
"cabbage",37.9459764043673,37.9459764043672,-6.3948846218409e-14,-1.68526026414355e-13
"coleslaw",20.6290290689274,20.6290290689273,-4.9737991503207e-14,-2.41106798274501e-13
"alfalfa",5.86918091773878,2.8808475887761,-2.98833332896268,-50.9156792207726
"beansprouts",2.88084758877611,5.37092789462358,2.49008030584747,86.4356835657991
"osprout",2.95992919886869,2.95992919886868,-2.22044604925031e-15,-7.50168635823786e-14
"bpeppers",65.6321592800316,65.6321592800314,-2.1316282072803e-13,-3.24784104418281e-13
"pea",28.8,28.8309466761301,0.0309466761300499,0.107453736562673
"snappea",14.0493743138469,14.0493743138469,-4.61852778244065e-14,-3.287354781265e-13
"gybeans",36.6,36.5930160948173,-0.00698390518275005,-0.0190817081495903
"carrot",81.4,68.9201808660585,-12.4798191339415,-15.3314731375203
"minicar",34.1484387533682,34.1484387533681,-1.06581410364015e-13,-3.1211210308554e-13
"mushroom",43.0004224286614,43.0004224286613,-1.35003119794419e-13,-3.13957659412282e-13
"grnonion",41.202051652291,41.202051652291,-7.105427357601e-15,-1.7245324134741e-14
"redonion",40.4488119128511,40.4488119128511,7.105427357601e-15,1.75664673981277e-14
"oonion",47.1701804006722,47.1701804006721,-2.8421709430404e-14,-6.02535525388811e-14
"celery",47.6,47.5856678452736,-0.0143321547264179,-0.0301095687529788
"broccoli",55.5,55.5364918736283,0.0364918736283144,0.0657511236546205
"cauliflo",33,33.038952888722,0.0389528887219655,0.118039056733229
"leek",9.2,9.19713780666179,-0.00286219333821158,-0.0311107971544737
"garlic",48.9,48.9161242458801,0.0161242458800857,0.0329739179551854
"zucchini",21.1,21.0565404420772,-0.0434595579228123,-0.205969468828494
"vegjuice",18.2,18.1500227976298,-0.0499772023701688,-0.274600013022905
"vegez",38.7,38.7076128854265,0.00761288542654626,0.019671538569887
"cilantro",24.2554385833121,24.2554385833121,-8.17124146124115e-14,-3.36882857556862e-13
