uniqueid,Q145FSD,Q145_E_FS,Q146_FS,Q133_A_dv,Q133_B_dv,Q133_C_dv,Q133_D_dv,Q133_E_dv,Q133_F_dv,Q133_G_dv,Q134_A_dv,Q134_B_dv,Q134_C_dv,Q134_D_dv,AQEND_DATE,month_dv,age_grp_dv,gender,CHI_ADU,AQINTRO4B_dv,AQINTRO4C_dv,AQ165A_dv,AQ165_dv,AQ166_dv,AQ167_dv,cma_dv,QINTRO3,QLANGUAGE_dv,education,income,weight_kg_5pct_dv,height_cm_5pct_dv,bmi_cole_dv,bmi_is_dv,proxy_dv,EXPWEIGHT_CMA2_dv,AQ145_B_FS_dv
2291,,,,2,2,1,2,2,2,2,2,2,2,2,20141214,12,2,1,1,2,2,,4,1,1,5,2,1,,4,1,1,1,5,1,1578,
2292,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141210,12,10,1,3,,2,,2,1,1,34,2,1,1,2,3,4,1,2,3,1555,
2293,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141213,12,9,2,3,,2,1,2,1,1,5,2,1,5,2,2,1,1,2,3,1112,
2294,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141214,12,10,2,3,,1,,1,1,1,4,2,1,2,2,3,3,2,3,3,803,
2295,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,8,1,3,,2,,2,1,2,4,2,1,4,4,4,4,2,3,3,4839,70+
2296,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,9,1,3,,2,,2,1,2,5,2,1,2,3,4,4,2,3,3,1255,65+
2297,,,,,,,,,2,2,2,2,2,2,20141211,12,2,2,1,2,2,,4,1,2,5,2,1,,4,,,,,1,1265,
2298,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141210,12,9,2,3,,1,,1,2,1,34,2,1,4,3,2,1,2,3,3,384,65+
2299,,,,2,2,2,1,2,2,2,2,2,2,2,20150107,1,1,2,1,1,2,2,3,2,2,4,2,1,,4,1,1,4,5,1,966,
2300,,,,2,2,2,2,2,2,2,2,2,2,1,20141211,12,3,1,1,1,2,2,3,1,2,4,2,1,,3,1,1,2,5,1,1401,
2301,1,2,,1,2,2,2,2,2,2,2,2,2,2,20141211,12,10,2,3,,1,,1,1,1,34,2,1,1,1,4,2,3,4,3,577,80+
2302,1,2,2,2,2,2,2,2,2,2,2,2,2,2,20141211,12,7,1,3,,2,,2,2,1,5,2,1,5,2,5,5,3,4,3,5571,70+
2303,1,2,1,1,2,2,2,1,,,,,,,20141212,12,7,2,3,,3,2,5,1,3,4,2,1,2,4,4,4,2,3,3,2860,70+
2304,,,,1,1,2,2,2,2,2,2,2,2,2,20141212,12,3,2,1,2,1,,3,2,3,34,2,1,,3,2,2,1,5,1,640,
2305,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141213,12,4,1,3,,2,1,2,1,2,34,2,1,,4,4,5,1,2,3,691,65+
2306,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141210,12,8,2,3,,1,,1,1,1,34,2,1,4,2,5,3,3,4,3,1927,
2307,,,,2,2,2,2,2,2,2,2,2,2,2,20141211,12,10,2,3,,3,3,3,1,1,5,2,1,1,2,2,1,1,2,2,1669,
2308,,,,2,2,2,2,2,2,2,2,2,2,2,20150106,1,3,1,1,2,2,,4,1,3,5,2,1,,4,1,1,1,5,1,1070,
2309,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150320,3,9,1,3,,2,,2,1,2,34,2,1,4,3,5,5,3,4,3,1037,60+
2310,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,5,1,3,,3,3,3,,3,5,2,1,2,,,1,,,3,6268,65+
2311,,,,2,2,2,2,2,2,2,2,2,2,2,20141210,12,3,2,1,2,2,2,4,1,2,34,2,1,,4,1,1,1,5,1,1992,
2312,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,7,2,3,,2,,6,1,3,5,2,1,4,4,4,4,2,3,3,5764,"Pas d’âge, santé implicite"
2313,,,,1,1,2,1,1,2,2,2,2,2,2,20150108,1,3,2,1,3,2,,5,1,3,34,2,1,,4,1,3,1,5,1,1494,
2314,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141210,12,10,2,3,,1,,1,1,1,4,2,1,2,,4,2,3,4,3,803,"Pas d’âge, santé implicite"
2315,,,,2,2,2,2,2,2,2,2,2,2,2,20141212,12,6,1,3,,2,1,2,1,1,34,2,1,4,2,3,5,1,2,2,6159,
2316,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141210,12,6,2,2,2,2,2,4,1,3,34,2,1,4,4,2,2,1,2,3,8545,
2317,,,,1,1,2,2,2,2,2,2,2,2,2,20150106,1,2,2,1,2,2,,4,1,2,4,2,1,,4,1,1,2,5,1,1718,
2318,1,1,1,1,1,2,2,1,1,2,2,2,2,2,20141210,12,6,1,3,,3,3,3,1,3,4,2,1,2,4,3,5,1,2,3,5444,60+
2319,,,,1,1,2,2,1,2,2,2,2,2,2,20141211,12,3,1,1,1,1,,2,1,2,4,2,1,,1,1,3,1,5,1,934,
2320,,,,1,1,2,2,1,2,2,2,2,2,2,20141210,12,3,2,1,2,3,,5,1,3,4,2,1,,4,1,1,2,5,1,2911,
2321,,,,1,2,2,2,2,2,2,2,2,2,2,20150105,1,3,2,1,2,2,,4,1,3,34,2,1,,4,2,2,1,5,1,1494,
2322,1,2,1,1,2,2,2,1,2,2,2,2,2,2,20141210,12,8,2,3,,2,,2,1,2,4,2,1,2,2,2,2,1,2,3,2288,65+
2323,,,,1,2,2,2,2,2,2,2,2,2,2,20141212,12,1,1,1,2,2,2,4,1,2,4,2,1,,4,1,,,,1,1814,
2324,3,,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,5,1,3,,2,1,3,1,2,34,2,1,2,2,4,4,2,3,3,6159,
2325,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141212,12,10,1,3,,2,,2,1,2,4,2,1,4,2,5,4,3,4,3,1071,70+
2326,1,1,1,1,1,2,2,1,2,2,2,2,2,2,20141210,12,8,2,3,,2,,2,1,1,5,2,1,2,,,1,,,3,3843,70+
2327,,,,1,1,2,2,1,2,2,2,2,2,2,20150103,1,3,2,2,1,3,2,5,2,3,5,2,1,,4,1,1,2,5,1,1672,
2328,,,,2,2,2,2,2,2,2,2,2,2,2,20141212,12,2,2,1,2,2,,4,1,,4,2,1,,,1,1,1,5,1,5154,
2329,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,9,2,3,,1,,1,1,1,5,2,1,7,2,3,2,2,3,3,556,
2330,1,2,1,1,2,2,1,1,2,2,2,2,2,2,20141212,12,7,2,3,,3,2,3,1,3,4,2,1,4,1,5,3,3,4,3,2574,"Pas d’âge, santé implicite"
2331,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141212,12,10,2,3,,2,,2,2,2,5,2,1,6,,2,2,1,2,3,556,70+
2332,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141211,12,8,1,3,,1,,1,1,1,34,2,1,4,4,5,4,3,4,3,3080,75+
2333,,,,2,2,2,2,2,2,2,2,2,2,2,20150109,1,2,1,1,3,2,,5,1,2,4,2,1,,4,1,1,1,5,1,2267,
2334,1,1,1,1,1,1,2,1,2,2,2,2,2,2,20141212,12,9,2,3,,1,,1,1,0,34,2,1,4,1,2,1,2,3,3,1153,70+
2335,1,1,,2,2,2,2,2,2,2,2,2,2,2,20141212,12,9,1,3,,2,,2,2,2,34,2,1,1,1,5,5,2,3,3,777,"Pas d’âge, santé implicite"
2336,1,2,1,1,2,2,2,2,2,2,2,2,2,2,20141211,12,9,2,3,,3,,4,2,3,5,2,1,4,,4,3,2,3,3,742,80+
2337,,,,1,2,2,2,2,2,2,2,2,2,2,20150108,1,1,2,1,5,2,,6,1,3,34,2,1,,4,1,1,4,5,1,1138,
2338,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141212,12,6,2,2,3,3,1,6,1,3,4,2,1,2,1,2,2,1,2,3,13566,60+
2339,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20141212,12,10,2,3,,2,,2,1,1,34,2,1,2,2,4,3,2,3,3,1153,80+
2340,1,1,2,1,2,2,2,2,2,1,2,1,2,2,20141210,12,10,2,3,,1,,1,1,0,34,2,1,2,1,4,2,3,4,3,1153,70+
2341,1,1,1,1,2,2,2,1,2,2,2,2,2,1,20141211,12,9,1,3,,3,1,3,1,3,34,2,1,4,4,5,5,3,4,3,1166,"Pas d’âge, santé implicite"
2342,1,2,1,1,2,2,1,1,2,2,2,2,2,1,20141211,12,8,1,3,,2,,2,1,2,5,2,1,2,4,5,4,3,4,3,5571,65+
2343,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20141213,12,9,1,3,,1,,1,1,1,34,2,1,1,1,3,3,2,3,3,777,70+
2344,1,,1,2,2,2,2,2,2,2,2,2,2,2,20150320,3,10,1,3,,2,,2,1,1,34,2,1,2,2,4,5,2,3,3,1555,"Pas d’âge, santé implicite"
2345,3,1,1,2,2,2,2,2,2,2,2,2,2,2,20141210,12,10,2,3,,2,,2,2,1,34,2,2,6,4,4,4,2,3,3,577,
2346,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150107,1,4,2,3,,3,1,3,1,1,34,2,1,,1,3,3,1,2,3,1908,"Expérience, pas d'âge"
2347,,,,2,2,2,2,2,2,2,2,2,2,2,20141212,12,1,1,1,2,2,,4,1,2,5,2,1,,4,1,,,,1,1052,
2348,,,,2,2,2,2,2,2,2,2,2,2,2,20150119,1,4,1,1,4,2,,6,1,3,34,2,1,,4,2,3,1,5,,1826,
2349,,,,2,2,2,2,2,2,2,2,2,2,2,20150203,2,2,1,1,3,2,,5,1,2,4,2,1,,4,1,1,1,5,1,2267,
2350,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150121,1,9,2,3,,2,,2,1,0,34,2,1,6,,3,2,2,3,3,2306,80+
2351,,,,2,2,2,2,2,1,2,2,2,2,2,20150203,2,2,2,1,3,2,,5,1,2,5,2,1,,4,1,1,1,5,1,1581,
2352,,,,1,2,2,2,1,2,2,2,2,2,2,20150203,2,4,2,1,1,2,,3,1,3,5,2,1,,2,,2,,,,815,
2353,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20150123,1,8,2,3,,1,,1,1,1,34,2,1,5,1,3,2,2,3,3,1927,70+
2354,,,,1,2,2,2,1,2,2,2,2,2,2,20150203,2,3,1,1,2,2,2,4,1,3,34,2,1,,4,2,4,1,5,1,974,
2355,,,,,2,2,2,2,2,2,2,2,2,2,20150118,1,7,1,2,5,2,,6,1,3,34,2,1,2,2,5,4,3,4,2,27313,
2356,1,,1,2,2,2,2,2,2,2,2,2,2,2,20150219,2,7,1,3,,3,1,3,1,2,5,2,1,2,2,5,5,3,4,3,8357,65+
2357,1,1,1,1,2,2,2,1,2,2,2,2,2,2,20150121,1,8,2,3,,3,1,3,1,3,4,2,1,5,,3,3,2,3,3,2574,65+
2358,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150116,1,9,2,3,,1,,1,1,0,5,2,1,1,1,4,2,3,4,3,1112,
2359,1,2,,2,2,2,2,2,2,2,2,2,2,2,20150119,1,10,2,3,,1,,1,1,0,34,2,1,1,1,3,2,2,3,3,1153,70+
2360,1,2,1,1,1,2,1,1,2,2,2,2,2,2,20150126,1,9,2,3,,2,,2,1,1,5,2,1,4,2,3,3,1,2,3,1112,70+
2361,,,,2,2,2,2,2,2,2,2,2,2,2,20150202,2,1,2,1,2,3,1,6,1,2,5,2,1,,4,1,1,4,5,1,1897,
2362,1,2,1,1,2,2,1,1,2,2,2,2,2,2,20150120,1,7,2,3,,2,,2,1,2,34,2,1,2,4,5,1,3,4,3,2569,65+
2363,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150122,1,5,2,3,,3,,3,1,3,34,2,1,4,1,4,3,3,4,3,2890,70+
2364,,,,2,2,2,2,2,2,2,2,2,2,2,20150113,1,2,2,1,2,2,,4,1,1,34,2,1,,1,1,1,3,5,1,2277,
2365,,,,,2,2,2,2,2,2,2,2,2,2,20150202,2,4,2,2,1,3,1,4,1,3,5,2,1,,4,2,3,1,2,2,1873,
2366,,,,2,2,2,2,2,2,2,2,2,2,2,20150208,2,3,1,1,5,2,,6,1,2,34,2,1,,4,2,4,1,5,1,3246,
2367,,,,2,2,2,2,2,2,2,2,2,2,2,20150127,1,4,1,1,1,3,4,5,1,3,5,2,1,,3,3,4,2,5,,1337,
2368,1,2,1,1,1,2,2,1,2,2,2,1,2,2,20150122,1,6,1,3,,1,,1,1,1,5,2,1,4,2,5,5,3,4,3,4179,
2369,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150118,1,7,1,2,1,2,,3,1,3,34,2,1,4,4,5,3,3,4,3,10242,
2370,,,,1,2,2,1,1,2,2,2,2,2,1,20150223,2,2,,1,1,2,,2,0,2,5,2,1,,2,,,,,1,3027,
2371,,,,2,2,2,2,2,2,2,2,2,2,2,20150204,2,3,2,1,2,2,,4,1,2,5,2,1,,4,1,1,1,5,1,1449,
2372,,,,1,2,2,2,2,2,2,2,2,2,2,20141127,11,1,2,1,1,2,,3,0,2,5,2,1,,4,1,1,4,5,1,1423,
2373,,,,1,2,2,2,2,2,2,2,2,2,1,20150228,2,2,1,1,2,3,1,5,1,3,34,2,1,,2,1,1,1,5,1,1142,
2374,,,,1,2,2,2,2,2,2,2,1,2,2,20150228,2,4,1,1,2,3,1,5,1,3,34,2,1,,4,3,5,1,5,,1014,
2375,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150301,3,4,1,3,,3,2,4,2,3,4,2,1,,4,4,5,1,2,3,948,65+
2376,,,,2,2,2,2,2,2,2,2,2,2,2,20150318,3,3,1,1,2,2,,4,1,2,4,2,1,,,1,1,1,5,1,1867,
2377,,,,2,2,2,2,2,2,2,2,2,2,2,20150301,3,2,1,1,2,2,,4,1,2,4,2,1,,4,1,1,1,5,1,1814,
2378,,,,2,2,2,2,2,2,2,2,2,2,2,20150228,2,3,1,1,3,2,,5,1,2,5,2,1,,4,1,1,1,5,1,1783,
2379,,,,2,2,2,2,2,2,2,2,1,2,2,20150301,3,4,1,1,1,2,,3,1,3,34,2,1,,4,5,5,3,5,,913,
2380,,,,2,2,2,2,2,2,2,2,2,2,2,20150317,3,2,1,1,2,3,3,6,2,3,4,2,1,,2,2,1,3,5,1,1190,
2381,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150318,3,10,1,3,,1,,1,1,0,5,2,1,4,2,5,5,2,3,3,1882,65+
2382,1,,2,2,2,2,2,2,2,2,2,2,2,2,20150228,2,4,1,2,1,3,2,5,1,3,4,2,1,,2,2,5,1,2,3,4683,55+
2383,,,,1,2,2,2,1,2,2,2,2,2,2,20150301,3,4,2,3,,3,3,5,1,3,5,2,1,,4,2,3,1,2,2,703,
2384,,,,2,2,2,2,2,2,2,2,2,2,2,20150326,3,3,2,1,2,2,,4,1,2,4,2,1,,4,1,1,1,5,1,3105,
2385,,,,1,2,2,2,2,2,1,2,1,2,2,20150228,2,3,1,1,3,2,,5,1,2,34,2,1,,4,1,1,1,5,1,2028,
2386,,,,1,2,2,2,2,2,2,2,1,2,2,20150301,3,1,1,1,2,2,,4,1,2,34,2,1,,4,1,1,4,5,1,1522,
2387,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20150319,3,10,1,3,,2,,2,1,1,5,2,1,3,2,4,5,2,3,3,1882,
2388,,,,1,2,2,2,1,2,2,2,2,2,2,20150227,2,3,2,1,2,3,2,6,1,3,34,2,1,,4,2,1,2,5,1,1494,
2389,1,1,1,1,2,2,2,2,2,2,2,2,2,2,20150316,3,10,1,3,,2,,2,1,2,34,2,1,7,2,4,4,2,3,3,1037,75+
2390,,,,1,2,2,2,2,2,2,2,2,2,2,20150301,3,3,2,1,3,2,,5,1,3,5,2,1,,4,1,1,1,5,1,1358,
2391,,,,2,2,2,2,2,2,2,2,2,2,2,20150228,2,3,2,1,1,3,,4,1,3,5,2,1,,,1,1,1,5,1,1087,
2392,,,,1,2,2,2,2,2,2,2,2,2,2,20150227,2,1,2,1,1,2,,3,1,2,5,2,1,,4,1,1,1,5,1,948,
2393,,,,1,2,2,2,1,2,1,2,1,2,2,20150227,2,1,2,1,1,2,,3,1,2,34,2,1,,4,1,1,2,5,1,1138,
2394,,,,2,2,2,2,2,2,2,2,2,2,2,20141026,10,1,1,1,2,2,,4,1,2,4,2,1,,4,1,1,4,5,1,1814,
2395,,,,2,2,2,2,2,2,2,2,2,2,2,20150228,2,1,1,1,4,2,,6,1,2,34,2,1,,2,,,,,1,2283,
2396,1,1,1,1,2,2,2,2,2,2,2,2,2,2,20141203,12,4,1,3,,2,2,2,2,2,34,2,1,,2,4,5,1,2,3,345,75+
2397,,,,2,2,2,2,1,2,2,2,2,2,2,20140821,8,1,2,1,2,2,,4,1,2,5,2,1,,4,1,1,4,5,1,1265,
2398,,,,2,2,2,2,2,2,2,2,2,2,2,20150321,3,1,2,1,1,2,,3,1,2,4,2,1,,4,1,1,1,5,1,1288,
2399,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150319,3,9,2,3,,2,,2,1,2,5,2,1,6,4,3,2,2,3,3,742,80+
2400,,,,2,2,2,2,2,2,2,2,2,2,2,20140813,8,4,2,1,3,3,1,6,1,2,5,2,1,,,2,3,1,5,,2173,
2401,,,,2,2,2,2,2,2,2,2,2,2,2,20140826,8,1,1,1,2,2,2,4,1,2,5,2,1,,2,1,,,,1,1052,
2402,,,,1,2,2,2,2,2,2,2,2,2,2,20140828,8,4,2,1,2,2,,4,1,3,4,2,1,,,3,5,1,5,,1863,
2403,,,,2,2,2,2,2,2,2,2,2,2,2,20140820,8,10,2,3,,1,,1,1,1,4,2,1,4,3,2,3,1,2,3,803,
2404,,,,2,2,2,2,2,2,2,2,2,2,2,20140818,8,6,2,2,4,2,2,6,1,1,4,2,1,6,2,5,1,3,4,3,33916,
2405,,,,2,2,2,2,2,2,2,2,2,2,2,20140821,8,2,1,1,2,2,,4,1,2,5,2,1,,4,1,1,1,5,1,1052,
2406,,,,2,2,2,2,2,2,2,2,2,2,2,20140828,8,3,1,1,1,2,,4,1,2,4,2,1,,,2,1,2,5,1,1867,
2407,,,,1,2,2,1,1,2,2,2,1,2,2,20140819,8,1,1,1,2,3,,5,1,3,34,2,1,,4,1,1,3,5,1,1427,
2408,1,1,1,2,2,2,2,2,2,2,2,2,2,2,20150314,3,8,2,3,,2,2,2,2,1,34,2,1,2,2,2,2,1,2,3,1542,65+
2409,,,,1,2,2,1,1,2,2,2,2,2,2,20140819,8,4,1,1,1,3,1,5,1,3,34,2,1,,2,5,5,2,5,,1217,
2410,,,,2,2,2,2,2,2,2,2,2,2,2,20140816,8,9,1,3,,2,,2,0,1,34,2,1,2,1,5,5,3,4,3,3110,
2411,,,,2,2,2,2,2,2,2,2,2,2,2,20140816,8,9,2,3,,2,,2,1,2,4,2,1,2,,5,3,3,4,3,1071,
2412,,,,2,2,2,2,2,2,2,2,2,2,2,20140812,8,8,2,3,,2,,2,1,2,5,2,1,6,3,3,2,2,3,3,2562,
2413,,,,2,2,2,2,2,2,2,2,2,2,1,20150227,2,1,2,1,2,2,,4,1,2,4,2,1,,3,1,1,1,5,1,1718,
2414,,,,2,2,2,2,2,2,2,2,2,2,2,20150227,2,1,2,1,3,2,,5,1,2,34,2,1,,3,1,1,1,5,1,1897,
2415,,,,1,1,2,2,1,2,2,2,2,2,2,20140820,8,9,2,3,,2,,2,1,2,4,2,1,5,4,5,2,3,4,3,1071,
2416,,,,2,2,2,2,2,2,2,2,2,2,2,20140829,8,4,1,1,5,2,,6,1,3,5,2,1,,4,5,4,3,5,,1427,
2417,,,,2,2,2,2,2,2,2,2,2,2,2,20140816,8,3,1,1,2,2,,4,1,3,5,2,1,,4,1,2,1,5,1,1070,
2418,,,,1,2,2,2,2,2,2,2,2,2,2,20140820,8,3,2,1,1,2,2,3,1,3,4,2,1,,2,1,1,1,5,1,1746,
2419,,,,2,2,2,2,2,2,2,1,2,2,2,20140810,8,10,2,3,,1,,1,1,1,34,2,1,7,,2,1,2,3,3,577,
2420,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150314,3,9,2,3,,2,,2,1,2,4,2,1,5,2,2,2,1,2,3,1071,80+
2421,1,,1,2,2,2,2,2,2,2,2,2,2,2,20150313,3,5,1,3,,2,2,2,1,1,34,2,1,1,2,3,5,1,2,3,6159,85+
2422,,,,2,2,2,2,2,2,2,2,2,2,2,20140816,8,6,1,3,,2,,2,1,2,4,2,1,7,,5,2,3,4,3,4839,
2423,,,,2,1,2,2,2,2,2,2,2,2,2,20140816,8,8,2,3,,2,,2,1,2,4,2,1,6,4,2,3,1,2,3,2288,
2424,1,2,1,1,2,2,2,1,2,2,2,2,2,2,20150314,3,7,2,3,,3,1,5,1,3,34,2,1,5,2,2,2,1,2,3,3212,60+
2425,,,,2,2,2,2,2,2,2,2,2,2,2,20140826,8,2,1,1,2,3,2,6,1,3,4,2,1,,,,,,,1,2040,
2426,,,,2,2,2,2,2,2,2,2,2,2,2,20140814,8,8,1,2,2,3,3,5,1,1,34,2,1,5,4,5,3,3,4,3,34141,
2427,,,,1,1,2,1,1,2,2,2,2,2,2,20140815,8,9,2,3,,1,,1,1,1,5,2,1,6,,4,3,2,3,3,556,
2428,,,,2,2,2,2,2,2,2,1,2,2,2,20140822,8,3,1,1,2,2,,4,1,2,5,2,1,,4,1,1,3,5,1,1427,
2429,,,,2,2,2,2,2,2,2,2,1,2,2,20140820,8,8,2,3,,3,1,3,1,3,34,2,1,2,4,4,2,3,4,3,2890,
2430,,,,2,2,2,2,2,2,2,2,2,2,2,20140810,8,5,1,3,,3,,4,1,1,4,2,1,4,2,3,3,1,2,3,14518,
2431,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150320,3,10,1,3,,2,,2,1,2,34,2,1,1,1,4,3,2,3,3,1037,Plus vieux que moi
2432,,,,2,2,2,2,2,2,2,2,2,2,2,20140815,8,7,2,3,,2,1,2,1,2,4,2,1,2,,2,2,1,2,3,2288,
2433,,,,1,1,2,2,1,1,1,2,2,2,2,20150324,3,2,2,1,2,2,,4,1,2,5,2,1,,4,1,1,1,5,1,1265,
2434,,,,2,2,2,2,2,2,2,2,2,2,2,20140829,8,2,1,1,2,2,,4,1,2,34,2,1,,,1,,,,1,1522,
2435,,,,2,2,2,2,2,2,2,2,2,2,2,20140816,8,10,2,3,,1,1,1,1,0,4,2,1,1,1,3,2,2,3,3,1606,
2436,1,2,1,2,2,2,2,2,2,2,2,2,2,2,20150315,3,7,2,3,,1,,2,1,1,5,2,1,5,3,5,3,3,4,3,3843,65+
2437,,,,2,2,2,2,2,2,2,2,2,2,2,20150320,3,1,2,1,1,3,,5,1,2,4,2,1,,4,1,1,4,5,1,2147,
2438,1,,1,1,1,2,2,2,2,2,2,2,2,2,20150318,3,10,2,3,,2,,2,1,,5,2,1,3,,3,2,2,3,3,2225,75+
2439,1,1,1,1,1,2,2,2,2,2,2,2,2,2,20150317,3,6,1,2,2,1,,3,2,2,4,2,1,7,4,5,4,3,4,3,17934,70+
2440,,,,2,2,2,2,2,2,2,2,2,2,2,20140812,8,10,1,3,,1,,1,1,0,34,2,1,2,1,4,4,2,3,3,1555,
2441,,,,1,2,2,2,1,2,2,2,2,2,2,20150322,3,1,1,1,2,2,,4,1,2,4,2,1,,4,1,1,1,5,1,1814,
2442,,,,1,1,2,2,2,2,2,2,2,2,2,20140829,8,4,1,2,2,3,1,5,1,3,34,2,1,,3,5,5,2,3,3,2298,
2443,,,,1,2,2,2,1,2,2,2,2,2,1,20140828,8,3,1,1,2,2,,4,2,3,34,2,1,,4,1,2,1,5,1,695,
2444,1,,1,1,1,2,2,2,2,2,2,2,2,2,20150322,3,9,2,3,,2,,2,1,2,34,2,1,2,1,3,2,2,3,3,769,80+
2445,,,,1,2,2,2,2,2,2,2,2,2,2,20140817,8,4,2,2,1,2,,3,1,2,34,2,1,,1,2,3,1,2,3,8545,
2446,,,,1,1,2,2,2,2,2,2,2,2,2,20140812,8,4,1,1,1,3,2,4,1,3,34,2,1,,,3,5,1,5,,811,
2447,,,,2,2,2,2,2,2,2,2,2,2,2,20140828,8,4,1,1,1,3,1,4,2,3,34,2,1,,4,3,5,1,2,3,811,
2448,,,,1,2,2,2,2,2,1,2,1,2,2,20140830,8,2,2,1,2,2,,4,1,3,34,2,1,,4,1,1,2,5,1,1138,
2449,,,,2,2,2,2,2,2,2,2,2,2,2,20140830,8,2,1,1,2,3,1,5,1,2,34,2,1,,3,1,1,1,5,1,1903,
2450,,,,2,2,2,2,2,2,2,2,2,2,2,20150315,3,4,1,1,1,2,2,3,1,3,5,2,1,,1,5,5,3,5,,802,
2451,,,,1,2,2,2,2,2,2,2,2,2,2,20140827,8,1,2,1,3,2,,5,1,2,34,2,1,,2,1,,,,1,1897,
2452,,,,1,2,2,2,2,2,2,2,1,2,2,20150323,3,3,2,1,2,2,,4,1,3,34,2,1,,4,1,2,1,5,1,1195,
2453,,,,1,2,2,1,1,2,2,2,2,2,2,20140821,8,9,1,3,,3,3,4,1,3,4,2,1,6,4,5,4,2,3,3,1071,
2454,1,2,1,1,2,2,2,2,2,2,2,1,2,2,20150310,3,6,1,2,3,2,,5,1,2,34,2,1,6,4,4,4,2,3,3,22761,70+
2455,,,,1,2,2,1,1,2,2,2,2,2,2,20140817,8,8,1,3,,3,2,4,1,3,4,2,1,6,4,5,5,2,3,3,5807,
2456,,,,2,2,2,2,2,2,2,2,2,2,2,20140818,8,10,1,3,,2,,2,2,2,34,2,1,6,3,5,5,2,3,2,622,
2457,,,,2,2,2,2,2,2,2,2,2,2,2,20140828,8,2,1,1,3,2,2,5,1,2,34,2,1,,2,1,1,1,5,1,1903,
2458,,,,2,2,2,2,2,2,2,2,2,2,2,20140826,8,3,1,1,4,2,,6,1,3,5,2,1,,2,1,3,1,5,1,1070,
2459,,,,2,2,2,2,2,2,2,2,2,2,2,20141116,11,1,2,1,2,2,,4,1,2,4,2,1,,4,1,1,4,5,1,1718,
2460,,,,1,2,2,2,1,2,2,2,2,2,1,20140817,8,1,1,1,2,2,2,4,1,2,5,2,1,,4,1,1,1,5,1,1052,
2461,,,,2,2,2,2,2,2,2,2,2,2,2,20140819,8,7,1,3,,1,1,1,1,1,5,2,1,6,4,5,5,2,3,3,4179,
2462,,,,1,2,2,2,2,1,2,2,2,2,2,20140811,8,2,1,1,3,2,,5,1,2,5,2,1,,,1,1,1,5,1,1315,
2463,1,1,2,1,2,2,1,2,2,2,2,2,2,2,20150314,3,10,2,3,,1,,1,2,0,34,2,1,,1,1,3,1,1,3,577,65+
2464,,,,2,2,2,2,2,2,2,2,2,2,2,20150319,3,1,2,1,2,2,,4,1,2,5,2,1,,3,1,1,2,5,1,1265,
2465,,,,1,2,2,2,2,2,2,2,2,2,2,20141110,11,9,2,3,,2,,2,1,1,4,2,1,4,3,3,2,2,3,3,1606,
2466,,,,2,2,2,2,2,2,2,2,2,2,2,20150318,3,4,1,1,2,2,,4,2,3,5,2,1,,4,3,5,1,5,,856,
2467,,,,2,2,2,2,2,2,2,2,2,2,2,20140821,8,9,1,3,,2,,2,1,1,34,2,1,6,2,4,4,2,3,3,1555,
2468,,,,1,1,2,2,1,2,2,2,2,2,2,20150326,3,4,1,1,2,1,2,4,1,1,4,2,1,,,2,2,2,5,,2801,
2469,1,,1,2,2,2,2,2,2,2,2,2,2,2,20150321,3,10,2,3,,1,,1,1,1,34,2,1,1,,2,3,1,2,3,577,
2470,,,,1,2,2,2,2,2,2,2,2,2,2,20140810,8,1,1,1,3,2,2,5,1,2,4,2,1,,1,,,,,1,2267,
