"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"anyfruitz",135,"FRUITS","Tout type de fruits congelés*",TRUE
"berriesz",136,"FRUITS","Petits fruits congelés*",TRUE
"fruitz",137,"FRUITS","Fruits congelés (excluant les petits fruits)*",TRUE
"dryfruit",138,"FRUITS","Fruits séchés*",TRUE
"fruitsm",139,"FRUITS","Boissons fouettées aux fruits (maison ou achetées en magasin)",FALSE
"unpjorc",140,"FRUITS","Cidre de pomme ou jus de fruits non pasteurisés",FALSE
"unpjuice",141,"FRUITS","Jus de fruits non pasteurisé*",TRUE
"anynut",143,"FRUITS","Noix",FALSE
"peanut",144,"FRUITS","Arachides (sauf le beurre ou la tartinade d’arachide)",FALSE
"pnbutter",145,"FRUITS","Beurre d’arachides",FALSE
"almond",146,"FRUITS","Amandes(sauf le beurre ou la tartinade d’amandes)",FALSE
"abutter",147,"FRUITS","Beurre d’amande",FALSE
"walnut",148,"FRUITS","Noix de Grenoble",FALSE
"hazelnut",149,"FRUITS","Noisettes (sauf le beurre ou la tartinade de noisette)",FALSE
"hspread",150,"FRUITS","Tartinade aux noisettes",FALSE
"cashew",151,"FRUITS","Noix de cajou (sauf le beurre ou la tartinade de cajou)",FALSE
"cbutter",152,"FRUITS","Beurre de cajou",FALSE
"pecan",153,"FRUITS","Pacanes",FALSE
"onut",154,"FRUITS","Autres noix",FALSE
"nutpaste",155,"FRUITS","Autres pâtes, beurres ou tartinades de noix*",TRUE
"anyseed",156,"FRUITS","",FALSE
"sunflwsd",157,"FRUITS","Graines de tournesol",FALSE
"ssbutter",158,"FRUITS","Beurre ou pâte contenant des graines de tournesol",FALSE
"sesamesd",159,"FRUITS","Graines de sésame",FALSE
"tahini",160,"FRUITS","Tahini (pâte de sésame), y compris dans du houmous maison",FALSE
"tahinifb1",161,"FRUITS","Tahini, halva ou autres produits faits à partir de graines de sésame*",TRUE
"chia",162,"FRUITS","Graines de chia et poudre de graines de chia",FALSE
"flax",163,"FRUITS","Graines de lin et poudre de graines de lin",FALSE
"oseed",164,"FRUITS","Autres graines",FALSE
"anybeef",166,"BEEF","Bœuf (sauf la charcuterie)",FALSE
"anygroundbeef",167,"BEEF","Bœuf haché",FALSE
"bgroundraw",168,"BEEF","Bœuf haché consommé cru ou pas assez cuit",FALSE
"bground",169,"BEEF","Autre bœuf haché*",TRUE
"hamb",170,"BEEF","Hamburgers",FALSE
"zbeefpatties",171,"BEEF","Galettes de bœuf haché achetées congelées",FALSE
"hambhome",172,"BEEF","Hamburgers faites à la maison*",TRUE
"hambrest",173,"BEEF","Hamburgers provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"rawbeef",174,"BEEF","Bœuf cru (sauf le bœuf haché cru)",FALSE
"steak",175,"BEEF","Bifteck",FALSE
"stewingb",176,"BEEF","Bœuf à ragoût",FALSE
"veal",177,"BEEF","Veau",FALSE
"sausage_beef",178,"BEEF","Saucisses de bœuf (sauf les saucissons)",FALSE
"bwhole",179,"BEEF","Autres morceaux de bœuf",FALSE
"anypork",181,"PORK","Porc (sauf la charcuterie)",FALSE
"pground",182,"PORK","Porc haché",FALSE
"sausage_pork",183,"PORK","Saucisses de porc (sauf les saucissons)",FALSE
"porkparts",184,"PORK","Porc en morceaux ou en pièces",FALSE
"rpork",185,"PORK","Porc mangé cru ou encore rosé",FALSE
"ham",186,"PORK","Jambon (excluant les charcuteries)*",TRUE
"bacon",187,"PORK","Bacon*",TRUE
"anychick",189,"POULTRY","Poulet (sauf la charcuterie)",FALSE
"cbreaded",190,"POULTRY","Poulet pané du commerce",FALSE
"zcbreaded",191,"POULTRY","Poulet pané du commerce acheté congelées",FALSE
