"variable_name","exposure_number","category_en","category_fr","exposure_en","exposure_fr","is_foodbook1_only"
"Q34_D",63,"VEGETABLES","LÉGUMES","Turmeric*","Curcuma*",TRUE
"Q34_E",64,"VEGETABLES","LÉGUMES","Other spices*","Autres épices*",TRUE
"csalad",66,"VEGETABLES","LÉGUMES","Any store-bought prepared salads?*","Tout type de salades préparées du commerce*",TRUE
"psaladstor",67,"VEGETABLES","LÉGUMES","Potato salad (store-bought prepared)*","Salade de pommes de terre*",TRUE
"pastasal",68,"VEGETABLES","LÉGUMES","Pasta salad (store-bought prepared)*","Salade de pâtes*",TRUE
"fruitsal",69,"VEGETABLES","LÉGUMES","Fruit salad/pre-cut fruit/fruit platter (store-bought prepared)*","Salades de fruits, fruits coupés ou assiette de fruits*",TRUE
"salsa",70,"VEGETABLES","LÉGUMES","Store-bought salsa*","Sauce salsa*",TRUE
"mango",72,"FRUITS","FRUITS","Mangoes","Mangues",FALSE
"mangof",73,"FRUITS","FRUITS","Fresh mango","Mangues fraîches",FALSE
"mangoz",74,"FRUITS","FRUITS","Frozen mango","Mangues surgelées",FALSE
"mangod",75,"FRUITS","FRUITS","Dried mango","Mangues séchées",FALSE
"papaya",76,"FRUITS","FRUITS","Papayas","Papayes",FALSE
"papayaf",77,"FRUITS","FRUITS","Fresh papaya","Papayes fraîches",FALSE
"papayaz",78,"FRUITS","FRUITS","Frozen papaya","Papayes surgelées",FALSE
"papayad",79,"FRUITS","FRUITS","Dried papaya","Papayes séchées",FALSE
"pomegra",80,"FRUITS","FRUITS","Pomegranate","Grenades",FALSE
"pomegraf",81,"FRUITS","FRUITS","Fresh pomegranate (including seeds)","Grenades fraîches (y compris les graines prêtes à manger)",FALSE
"pomegraz",82,"FRUITS","FRUITS","Frozen pomegranate","Grenades surgelées",FALSE
"avocado",83,"FRUITS","FRUITS","Avocado (including guacamole)","Avocats (y compris le guacamole)",FALSE
"avocadof",84,"FRUITS","FRUITS","Fresh avocado","Avocats frais",FALSE
"avocadoz",85,"FRUITS","FRUITS","Frozen avocado","Avocats surgelés",FALSE
"melon",86,"FRUITS","FRUITS","Any melon","Tout type de melons",FALSE
"cantaloup",87,"FRUITS","FRUITS","Cantaloupe","Cantaloups",FALSE
"cantaloupf",88,"FRUITS","FRUITS","Fresh cantaloupe","Cantaloups frais",FALSE
"cantaloupz",89,"FRUITS","FRUITS","Frozen cantaloupe","Cantaloups surgelés",FALSE
"honeydew",90,"FRUITS","FRUITS","Honeydew melon","Melons miel",FALSE
"honeydewf",91,"FRUITS","FRUITS","Fresh honeydew melon","Melons miel frais",FALSE
"honeydewz",92,"FRUITS","FRUITS","Frozen honeydew melon","Melons miel surgelés",FALSE
"watermel",93,"FRUITS","FRUITS","Watermelon","Melons d’eau",FALSE
"watermelf",94,"FRUITS","FRUITS","Fresh watermelon","Melons d’eau frais",FALSE
"watermelz",95,"FRUITS","FRUITS","Frozen watermelon","Melons d’eau surgelés",FALSE
"peach",96,"FRUITS","FRUITS","Peaches","Pêches",FALSE
"peachf",97,"FRUITS","FRUITS","Fresh peaches","Pêches fraîches",FALSE
"peachz",98,"FRUITS","FRUITS","Frozen peaches","Pêches surgelées",FALSE
"nectarine",99,"FRUITS","FRUITS","Nectarines","Nectarines",FALSE
"nectarinef",100,"FRUITS","FRUITS","Fresh nectarines","Nectarines fraîches",FALSE
"nectarinez",101,"FRUITS","FRUITS","Frozen nectarines","Nectarines surgelées",FALSE
