"variable_name","exposure_number","category_en","category_fr","exposure_en","exposure_fr","is_foodbook1_only"
"nondairyprod",276,"DAIRY / DAIRY SUBSTITUTES","PRODUITS LAITIERS / SUBSTITUTS","Other non-dairy products/substitutes","Autres produits et substituts non laitiers",FALSE
"flour",278,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Any wheat flour","Farine de blé",FALSE
"dough",279,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Eat, taste or lick any uncooked or unbaked dough made with wheat flour","Pâte ou mélange à base de farine de blé non cuit mangé, goûté ou léché",FALSE
"oflour",280,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Other flours","Autres farines",FALSE
"pbmeat",281,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Any plant-based meat substitutes","Substituts de viande à base de plantes",FALSE
"tofu",282,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Tofu","Tofu",FALSE
"othermeatsub",283,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Other plant based meat substitutes","Autres substituts de viande d’origine végétale",FALSE
"hummus",284,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Hummus (excluding home-made)","Houmous (à l’exclusion du houmous maison)",FALSE
"dietsup",285,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Dietary or nutritional supplement","Suppléments alimentaires",FALSE
"mealrepbev",286,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Meal replacement beverages","Boissons vendues comme substitut de repas",FALSE
"protpowder",287,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Protein powder","Poudre de protéine",FALSE
"probiotics",288,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Probiotics","Probiotiques",FALSE
"cannabis",289,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Food or drinks containing cannabis","Aliments ou boissons contenant du cannabis",FALSE
"pizza",290,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Frozen pizza*","Pizzas surgelées*",TRUE
"potpie",291,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Frozen pot pies*","Tourtes surgelées*",TRUE
"frozenm",292,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Frozen meals in a bag or box*","Repas congelés dans un sac ou une boîte*",TRUE
"frozens",293,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Frozen snack foods/appetizers*","Grignotines ou hors-d'œuvre congelés*",TRUE
"granola",294,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Granola bars, power bars, or other protein bars*","Barres de céréales, barres énergétiques ou autres barres protéinées*",TRUE
"chips",295,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Chips or pretzels*","Croustilles ou bretzels*",TRUE
"choc",296,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Chocolate or chocolate-containing candy*","Chocolats ou bonbons contenant du chocolat*",TRUE
"coldbc",297,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Cold breakfast cereal*","Céréales à déjeuner froides*",TRUE
"hotbc",298,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Hot breakfast cereal*","Céréales à déjeuner chaudes*",TRUE
"Q109_A",299,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Asian style foods*","Aliments de style asiatique*",TRUE
"Q109_B",300,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Indian style foods*","Aliments de style indien*",TRUE
"Q109_C",301,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Mexican style foods*","Aliments de style mexicain*",TRUE
"Q110_Q111_dv",302,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Meal from a fast food restaurant*","Repas dans un restaurant-minute*",TRUE
"babyfoods",303,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","BABY FOODS","Aliments pour nourrissons",FALSE
"fb1_anybabyformula",304,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Any baby formula*","Tout type de préparations pour nourrissons*",TRUE
"Q1",305,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Liquid*","Préparations pour nourrissons liquide/en conserve*",TRUE
"Q2",306,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Powder*","Préparations pour nourrissons en poudre*",TRUE
"Q3",307,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Store-bought pureed baby food*","Aliments en purées pour nourrissons du commerce*",TRUE
"Q4",308,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Infant/toddler cereal*","Céréales pour nourrissons et tout-petits*",TRUE
"butcher",310,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Meat from a butcher shop","Viande d’une boucherie",FALSE
"foodfarm",311,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Food from farmer's market or farm","Aliments du marche fermier ou de la ferme",FALSE
"producefarm",312,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Produce from a farmer's market or farm","Fruits et légumes du marché ou de la ferme d'un fermier",FALSE
"eggfarm",313,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Eggs from a farmer's market or farm","Œufs du marché ou de la ferme d'un fermier",FALSE
"meatfarm",314,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Meat from a farmer's market or farm","Viandes du marché ou de la ferme d'un fermier",FALSE
"dairyfarm",315,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Cheese or dairy products from a farmer's market or farm","Fromage et produits laitiers du marché ou de la ferme d'un fermier",FALSE
"mealkit",316,"DRIED/PROCESSED/OTHER","DRIED/PROCESSED/OTHER","Food from a meal kit","Consommé des aliments provenant d’un service de livraison de boîtes repas",FALSE
"organic",318,"DIETS","DIETS","Always or sometimes eats organic produce","Consomme toujours ou parfois des produits biologiques",FALSE
"kosher",319,"DIETS","DIETS","Vegan diet","Régime casher",FALSE
"vegan",320,"DIETS","DIETS","Vegetarian diet","Régime végétalien",FALSE
"vegetarian",321,"DIETS","DIETS","Kosher diet","Régime végétarien",FALSE
"halal",322,"DIETS","DIETS","Halal diet","Régime halal",FALSE
"drankhomew",324,"WATER","EAU","Drank water supplied to residence","Eau potable fournie à la résidence",FALSE
"cmunicipal",326,"WATER","EAU","Municipal water","Eau de la municipalité ou de la ville",FALSE
"cwell",327,"WATER","EAU","Private well","Puits privé",FALSE
"ctruckedin",328,"WATER","EAU","Trucked-in water","Eau approvisionnée par des camions-citernes",FALSE
"cbottled",329,"WATER","EAU","Store-bought bottled water","Eau embouteillée du commerce",FALSE
"ccistern",330,"WATER","EAU","Cistern","Citerne",FALSE
"cnottreated",331,"WATER","EAU","Untreated lake, spring or river water","Eau de lac, de source ou de riviere non traitee",FALSE
"cotherw",332,"WATER","EAU","Other water source","Autres sources d’eau",FALSE
"swaminwadeorenteredlakeriverpondorstream",333,"WATER","EAU","Swam in, wade or entered lake, river, pond or stream","A nagé, pataugé ou est entré dans un lac, une rivière, un étang ou un ruisseau*",FALSE
"Q118",334,"WATER","EAU","Raw water consumption*","Avoir bu de l'eau non traitée*",TRUE
"Q119",335,"WATER","EAU","Swim or go into any water*","Retrouvé dans un plan d'eau pour nager*",TRUE
"naturalw",336,"WATER","EAU","Swim or go into any natural water*","Se rend dans n'importe quel type de bassin d'eau naturelle",TRUE
"Q120_A",337,"WATER","EAU","Ocean*","Océan*",TRUE
"Q120_B",338,"WATER","EAU","Lake*","Lac*",TRUE
"Q120_C",339,"WATER","EAU","River*","Rivière*",TRUE
"Q120_D",340,"WATER","EAU","Natural hot spring*","Natural hot spring*",TRUE
"pool",341,"WATER","EAU","Pool*","Piscine*",TRUE
"hottub",342,"WATER","EAU","Hot tub*","Cuve thermal*",TRUE
"waterpark",343,"WATER","EAU","Recreational waterpark*","Parc aquatique*",TRUE
"swim",344,"WATER","EAU","Swim or go into a swimming facility in the last 4 weeks*","Nager ou entrer dans un complexe de natation au cours des quatre dernières semaines*",TRUE
"animalcont",346,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Any contact with animals, animal waste, habitat or food*","Contact avec un animal ou avec des excréments, l'habitat ou la nourriture d'un animal*",TRUE
"animalh",347,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Companion animals present in the home","Animaux de compagnie présents au domicile",FALSE
"domanim",348,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Any contact with companion animals","Tout contact avec des animaux de compagnie",FALSE
"cat",349,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Cat","Chat",FALSE
"dog",350,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Dog","Chien",FALSE
"reptileoramphi",351,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Reptile or amphibian","Reptile ou amphibien",FALSE
"rept",352,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Reptile*","Reptile*",TRUE
"amphi",353,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Amphibian*","Amphibien*",TRUE
"rodent",354,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Rodent","Rongeur",FALSE
"rabbit",355,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Rabbit","Lapin",FALSE
"hedgehog",356,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Hedgehog","Hérisson",FALSE
"bird",357,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Bird","Oiseau",FALSE
"aquari",358,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Fish or aquarium*","Poisson ou aquarium*",TRUE
"petwaste",359,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handle pet waste or clean litter box/pet enclosure","Manipuler les déchets des animaux domestiques ou nettoyer le bac à litière/l'enclos des animaux domestiques",FALSE
"petdiarr",360,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Contact with pet with diarrhea","Contact avec un animal souffrant de diarrhée",FALSE
"petfood",361,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any pet food or treats","A manipulé de la nourriture ou des friandises pour animaux de compagnie",FALSE
"animfddry",362,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any dry pet food","Nourriture sèche pour animaux de compagnie",FALSE
"animfdcan",363,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any canned/wet pet food*","Manipulation d'aliments en conserve ou humides pour animaux de compagnie*",TRUE
"animfdraw",364,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any raw pet food (store-bought or home-made)","Aliments crus pour animaux de compagnie",FALSE
"animfdtreat",365,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any raw treats derived from animal parts","Friandises crues faites de parties d’animaux",FALSE
"animfdpr",366,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any processed animal treats","Friandises transformées pour animaux de compagnie",FALSE
"animfdrod",367,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any rodents for reptiles","Rongeurs utilisés pour nourrir les reptiles",FALSE
"rodentsinsect",368,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any rodents or insects for reptiles*","Manipulation de rongeurs ou d'insectes pour reptiles*",TRUE
"farman",369,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Handled any farm animals/livestock or their waste","Manipulé des animaux de la ferme / du bétail ou leurs déchets",FALSE
"cattle",370,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Cattle","Bovins",FALSE
"poultry",371,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Poultry","Volailles",FALSE
"pig",372,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Pig","Cochons",FALSE
"sheepgoat",373,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Sheep or goat","Moutons et chèvres",FALSE
"horsecontact",374,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Horse (contact with)*","Cheval*",TRUE
"livefarm",375,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Live on farm or country property","Vécu sur une ferme ou une propriété de campagne",FALSE
"visitfarm",376,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Visit or work on a farm, petting zoo or fair","Visité ou travaillé dans une ferme, ou visité un parc animalier ou une foire agricole",FALSE
"pettingzoo",377,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Visited any petting zoo*","Visite d'un zoo pour enfants*",TRUE
"farmvisit",378,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Visited any farm or barn*","Visite d'une ferme ou d'une grange*",TRUE
"fairvisit",379,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Visited any agricultural fair*","Visite d'une foire agricole*",TRUE
"petstorevisit",380,"ANIMAL CONTACT","CONTACT AVEC LES ANIMAUX","Visited any pet store*","Visite d'une animalerie*",TRUE
